# Every instruction every opcode in text.rs is written as, filled in with x1 to x4, the constant 1
# and [x9, #16], then assembled by GNU as 2.42 (aarch64-linux-gnu-as) and read back with objdump -d.
# Columns: the word GNU as wrote, the line it was given, the opcode.
6b03005f	cmp w2, w3	cmp_set_ls_32
1a9f87e1	cset w1, ls	cmp_set_ls_32
eb03005f	cmp x2, x3	cmp_set_ls_64
1a9f87e1	cset w1, ls	cmp_set_ls_64
6b03005f	cmp w2, w3	cmp_set_hi_32
1a9f97e1	cset w1, hi	cmp_set_hi_32
eb03005f	cmp x2, x3	cmp_set_hi_64
1a9f97e1	cset w1, hi	cmp_set_hi_64
6b03005f	cmp w2, w3	cmp_set_hs_32
1a9f37e1	cset w1, hs	cmp_set_hs_32
eb03005f	cmp x2, x3	cmp_set_hs_64
1a9f37e1	cset w1, hs	cmp_set_hs_64
7100045f	cmp w2, #1	cmp_set_eq_ri_32
1a9f17e1	cset w1, eq	cmp_set_eq_ri_32
f100045f	cmp x2, #1	cmp_set_eq_ri_64
1a9f17e1	cset w1, eq	cmp_set_eq_ri_64
7100045f	cmp w2, #1	cmp_set_ne_ri_32
1a9f07e1	cset w1, ne	cmp_set_ne_ri_32
f100045f	cmp x2, #1	cmp_set_ne_ri_64
1a9f07e1	cset w1, ne	cmp_set_ne_ri_64
7100045f	cmp w2, #1	cmp_set_lt_ri_32
1a9fa7e1	cset w1, lt	cmp_set_lt_ri_32
f100045f	cmp x2, #1	cmp_set_lt_ri_64
1a9fa7e1	cset w1, lt	cmp_set_lt_ri_64
7100045f	cmp w2, #1	cmp_set_le_ri_32
1a9fc7e1	cset w1, le	cmp_set_le_ri_32
f100045f	cmp x2, #1	cmp_set_le_ri_64
1a9fc7e1	cset w1, le	cmp_set_le_ri_64
7100045f	cmp w2, #1	cmp_set_gt_ri_32
1a9fd7e1	cset w1, gt	cmp_set_gt_ri_32
f100045f	cmp x2, #1	cmp_set_gt_ri_64
1a9fd7e1	cset w1, gt	cmp_set_gt_ri_64
